timeline_id,tfnsw_project_id,project_name,project_group,estimated_value_code,delivery_type,stage_name,timing_status,start_quarter,end_quarter,start_quarter_index,end_quarter_index,fill_color_hex,source_page,source_shape_type,source_x0,source_x1
TLS-0026,TFNSW-0011,Newcastle Link Road/Minmi Road intersection upgrade,Hunter roads,$$$,TBA,Construction procurement,To be confirmed,Q1 2029,Q1 2030,10,14,#F3AEA3,2,curve,422.1298267472565,549.0479894589995
TLS-0027,TFNSW-0011,Newcastle Link Road/Minmi Road intersection upgrade,Hunter roads,$$$,TBA,Construction and commissioning,To be confirmed,Q2 2030,Q2 2030,15,15,#9C9DC5,2,curve,550.8248170489651,574.6854316387728
TLS-0028,TFNSW-0012,Thornton bridge duplication,Hunter roads,$$,TBA,Project staging not yet available,Not available,Q3 2026,Q4 2028,0,9,#C3AAD2,2,curve,162.9629236098779,419.8452849384458
TLS-0029,TFNSW-0013,"Goonoo Goonoo Road widening, Tamworth",New England Highway,$$,TBA,Detailed or reference design,Confirmed,Q3 2026,Q4 2026,0,1,#7BAE27,2,curve,163.21675993530138,212.46100706745767
TLS-0030,TFNSW-0013,"Goonoo Goonoo Road widening, Tamworth",New England Highway,$$,TBA,Construction procurement,To be confirmed,Q1 2027,Q3 2028,2,8,#F3AEA3,2,curve,214.99936417769277,393.70013727582693
TLS-0031,TFNSW-0013,"Goonoo Goonoo Road widening, Tamworth",New England Highway,$$,TBA,Construction and commissioning,To be confirmed,Q1 2029,Q2 2030,10,15,#9C9DC5,2,curve,421.368294442987,574.6854349987725
TLS-0032,TFNSW-0014,Maitland Westbound Overpass,New England Highway,TBA,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q4 2027,0,5,#20A8E1,2,curve,163.21675993530138,316.0262278402399
TLS-0033,TFNSW-0014,Maitland Westbound Overpass,New England Highway,TBA,TBA,Project staging not yet available,Not available,Q1 2028,Q2 2030,6,15,#C3AAD2,2,curve,318.31073873705196,575.1931000656198
TLS-0034,TFNSW-0015,Muswellbrook Bypass,New England Highway,$$$$,D&C,Construction procurement,Confirmed,Q3 2026,Q2 2027,0,3,#DD0030,2,curve,162.4552516310309,263.9897818004253
TLS-0035,TFNSW-0015,Muswellbrook Bypass,New England Highway,$$$$,D&C,Detailed or reference design,Confirmed,Q3 2027,Q3 2027,4,4,#7BAE27,2,curve,266.7819708200841,290.1349127590448
TLS-0036,TFNSW-0015,Muswellbrook Bypass,New England Highway,$$$$,D&C,Construction and commissioning,Confirmed,Q4 2027,Q2 2030,5,15,#173077,2,curve,291.9117646370093,574.6854311587726
TLS-0037,TFNSW-0016,Rocky Cut realignment,New England Highway,$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q4 2026,0,1,#20A8E1,2,curve,163.21675993530138,212.46100706745767
TLS-0038,TFNSW-0017,Almond Street to M1 Princes Motorway,Picton Road Upgrade Program,TBA,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2027,Q2 2029,4,11,#20A8E1,2,curve,266.7819708200841,471.3740491114138
TLS-0039,TFNSW-0018,Nepean River to Almond Street,Picton Road Upgrade Program,$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,2,curve,162.9629236098779,575.1931160976192
TLS-0040,TFNSW-0019,Bulli Bypass,Princes Highway,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
TLS-0041,TFNSW-0020,Dapto Ramps,Princes Highway,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
TLS-0042,TFNSW-0021,Jervis Bay Road to Hawken Road,Princes Highway,$$$$,D&C,Construction procurement,To be confirmed,Q3 2026,Q2 2027,0,3,#F3AEA3,3,curve,163.21675993530138,264.2436174538488
TLS-0043,TFNSW-0021,Jervis Bay Road to Hawken Road,Princes Highway,$$$$,D&C,Detailed or reference design,To be confirmed,Q3 2027,Q1 2028,4,6,#D0DDAD,3,curve,266.7819708200841,341.91752314543595
TLS-0044,TFNSW-0021,Jervis Bay Road to Hawken Road,Princes Highway,$$$$,D&C,Construction and commissioning,To be confirmed,Q2 2028,Q2 2030,7,15,#9C9DC5,3,curve,343.6943712794006,574.6854274147729
TLS-0045,TFNSW-0022,Milton/Ulladulla Bypass,Princes Highway,$$$$$,D&C,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2026,0,0,#20A8E1,3,curve,163.21675993530138,186.56970187426208
TLS-0046,TFNSW-0022,Milton/Ulladulla Bypass,Princes Highway,$$$$$,D&C,Construction procurement,To be confirmed,Q4 2026,Q4 2027,1,5,#F3AEA3,3,curve,189.1080620564971,316.02622476824007
